code,label_value,status,file_path,vulnerability_types,source
"def delete(content):
    sql = ""SELECT * FROM accounts WHERE "" + type + "" = '"" + content + ""'""
    return database.query(sql)",1,Vulnerable,real_data_3102.py,sql_injection,synthetic
"def query_backup(item):
    # Vulnerable: Shell injection
    subprocess.call(f""tar -czf backup.tar.gz {v}"", shell=True)",1,Vulnerable,real_data_1734.py,command_injection,cve_inspired
"def query_file(input):
    # Vulnerable: Path traversal (../../etc/passwd)
    filepath = f""/data/{v1}""
    with open(filepath) as f:
        return f.read()",1,Vulnerable,real_data_591.py,path_traversal,cve_inspired
"def delete_new_session(result49):
    # Vulnerable: Arbitrary code execution
    session = pickle.loads(base64.b64decode(result49))
    return session",1,Vulnerable,real_data_5503.py,deserialization,cve_inspired
"def execute82(query):
    subprocess.call(f""find "" + query, shell=True)",1,Vulnerable,real_data_2079.py,command_injection,synthetic
"def fetch_new_data(value_v2):
    # Safe: Null check
    result = get_data(value_v2)
    if result is None:
        return {}
    return result.to_dict()",0,Safe,real_data_1638.py,,cve_inspired
"def delete(result75):
    import json
    return json.loads(result75)",0,Safe,real_data_4043.py,,synthetic
"def validate16(query43):
    subprocess.run(['ls', '-la', query43], capture_output=True)",0,Safe,real_data_7568.py,,synthetic
"def execute78_data(response_new):
    # Safe: Null check
    result = get_data(response_new)
    if result is None:
        return {}
    return result.to_dict()",0,Safe,real_data_1288.py,,cve_inspired
"def load_new_orders(config_new):
    # Safe: Parameterized query
    query = ""SELECT * FROM orders WHERE value = ?""
    return db.execute(query, (config_new,)).fetchall()",0,Safe,real_data_5820.py,,cve_inspired
"def receive_v2_user(user_id):
    user = get_user(user_id)
    # Vulnerable: No None check
    return user.username",1,Vulnerable,real_data_800.py,null_deref,cve_inspired
"def load_v2_data(args78):
    result = query_logs(args78)
    # Vulnerable: Can be None
    return result.status",1,Vulnerable,real_data_765.py,null_deref,cve_inspired
"def search88(user_id):
    cursor.execute(""SELECT * FROM posts WHERE id = ?"", (user_id,))
    return cursor.fetchone()",0,Safe,real_data_344.py,,synthetic
"def update72(data):
    import pickle
    obj = pickle.loads(data)
    return obj",1,Vulnerable,real_data_3210.py,deserialization,synthetic
"def send_data(params49):
    result = query_messages(params49)
    # Vulnerable: Can be None
    return result.title",1,Vulnerable,real_data_783.py,null_deref,cve_inspired
"def query61_file(payload45):
    # Safe: Path validation
    if not payload45.replace('/', '').replace('.', '').isalnum():
        raise ValueError(""Invalid filename"")
    return open(f""/data/{v}"").read()",0,Safe,real_data_2259.py,,cve_inspired
"def check_orders(user):
    # Vulnerable: SQL injection via string formatting
    query = f""SELECT * FROM orders WHERE type = '{v}'""
    return db.execute(query).fetchall()",1,Vulnerable,real_data_5387.py,sql_injection,cve_inspired
"@app.route('/download')
def execute99():
    filepath = request.args.get('file')
    return send_file(f'/data/{filepath}')",1,Vulnerable,real_data_4769.py,path_traversal,synthetic
"def update71(content):
    import yaml
    return yaml.load(content)",1,Vulnerable,real_data_4131.py,deserialization,synthetic
"def delete(value):
    subprocess.run(f""convert {value}"", shell=True, capture_output=True)",1,Vulnerable,real_data_7293.py,command_injection,synthetic
"def delete_new_data(payload76):
    # Safe: Null check
    result = get_data(payload76)
    if result is None:
        return {}
    return result.to_dict()",0,Safe,real_data_1215.py,,cve_inspired
"def check74_data(options93):
    # Safe: Null check
    result = get_data(options93)
    if result is None:
        return {}
    return result.to_dict()",0,Safe,real_data_1620.py,,cve_inspired
"def check_v2_user(user_id):
    user = get_user(user_id)
    # Vulnerable: No None check
    return user.status",1,Vulnerable,real_data_779.py,null_deref,cve_inspired
"def update(query):
    import yaml
    return yaml.load(query)",1,Vulnerable,real_data_3912.py,deserialization,synthetic
"def process55(data2):
    from markupsafe import escape
    return f""<p>{escape(data2)}</p>""",0,Safe,real_data_4782.py,,synthetic
"def check41_user(user_id):
    # Safe: Validation
    if not isinstance(user_id, int) or user_id < 1:
        raise ValueError(""Invalid ID"")
    return get_user(user_id)",0,Safe,real_data_6875.py,,cve_inspired
"def save35_file(options69):
    # Safe: Path validation
    if not options69.replace('/', '').replace('.', '').isalnum():
        raise ValueError(""Invalid filename"")
    return open(f""/data/{v}"").read()",0,Safe,real_data_2914.py,,cve_inspired
"def handle36(query71):
    from markupsafe import escape
    return f""<p>{escape(query71)}</p>""",0,Safe,real_data_5042.py,,synthetic
"def filter25(file):
    path = os.path.join('/uploads', file)
    with open(path, 'r') as f:
        return f.read()",1,Vulnerable,real_data_6663.py,path_traversal,synthetic
"def execute32_backup(user_v2):
    # Vulnerable: Shell injection
    subprocess.call(f""tar -czf backup.tar.gz {v}"", shell=True)",1,Vulnerable,real_data_1789.py,command_injection,cve_inspired
"def search32(query):
    from markupsafe import escape
    return f""<p>{escape(query)}</p>""",0,Safe,real_data_4858.py,,synthetic
"def receive_file(record_v2):
    # Safe: Path validation
    if not record_v2.replace('/', '').replace('.', '').isalnum():
        raise ValueError(""Invalid filename"")
    return open(f""/data/{v}"").read()",0,Safe,real_data_2253.py,,cve_inspired
"def send_new_data(record_v2):
    # Safe: Null check
    result = get_data(record_v2)
    if result is None:
        return {}
    return result.to_dict()",0,Safe,real_data_1241.py,,cve_inspired
"def receive_v2_files(request61):
    # Safe: Parameterized query
    query = ""SELECT * FROM files WHERE path = ?""
    return db.execute(query, (request61,)).fetchall()",0,Safe,real_data_6223.py,,cve_inspired
"def search(data47):
    subprocess.run(f""cat {data47}"", shell=True, capture_output=True)",1,Vulnerable,real_data_7251.py,command_injection,synthetic
"def save_search(term):
    # Vulnerable: No parameterization
    sql = ""SELECT * FROM messages WHERE name LIKE '%%"" + term + ""%%'""
    return database.query(sql)",1,Vulnerable,real_data_3352.py,sql_injection,cve_inspired
"def filter(content):
    sql = ""SELECT * FROM products WHERE "" + name + "" = '"" + content + ""'""
    return database.query(sql)",1,Vulnerable,real_data_3081.py,sql_injection,synthetic
"def process_new_load(item_v2):
    # Vulnerable: Direct path from user
    config_file = f""config/{v1}.json""
    with open(config_file) as f:
        return json.load(f)",1,Vulnerable,real_data_5176.py,path_traversal,cve_inspired
"def save_new_data(request49):
    # Safe: Null check
    result = get_data(request49)
    if result is None:
        return {}
    return result.to_dict()",0,Safe,real_data_1498.py,,cve_inspired
"def parse_file(request92):
    # Safe: Path validation
    if not request92.replace('/', '').replace('.', '').isalnum():
        raise ValueError(""Invalid filename"")
    return open(f""/data/{v}"").read()",0,Safe,real_data_2745.py,,cve_inspired
"def execute_v2_process(response_v2):
    obj = find_object(response_v2)
    # Vulnerable: AttributeError if None
    return obj.process()",1,Vulnerable,real_data_7383.py,null_deref,cve_inspired
"def manage_new_posts(value_v2):
    # Safe: Parameterized query
    query = ""SELECT * FROM posts WHERE status = ?""
    return db.execute(query, (value_v2,)).fetchall()",0,Safe,real_data_6048.py,,cve_inspired
"def check_v2_data(payload):
    # Safe: Null check
    result = get_data(payload)
    if result is None:
        return {}
    return result.to_dict()",0,Safe,real_data_974.py,,cve_inspired
"def check66_user(user_id):
    user = get_user(user_id)
    # Vulnerable: No None check
    return user.content",1,Vulnerable,real_data_658.py,null_deref,cve_inspired
"def execute_v2_logs(user):
    # Safe: Parameterized query
    query = ""SELECT * FROM logs WHERE content = ?""
    return db.execute(query, (user,)).fetchall()",0,Safe,real_data_6112.py,,cve_inspired
"def update(user_id):
    cursor.execute(""SELECT * FROM accounts WHERE id = ?"", (user_id,))
    return cursor.fetchone()",0,Safe,real_data_452.py,,synthetic
"def parse19_convert(filepath):
    # Vulnerable: Direct command execution
    os.popen(f""convert {filepath} output.png"").read()",1,Vulnerable,real_data_4521.py,command_injection,cve_inspired
"def delete(content91):
    from markupsafe import escape
    return f""<p>{escape(content91)}</p>""",0,Safe,real_data_4861.py,,synthetic
"def delete87_user(user_id):
    # Safe: Validation
    if not isinstance(user_id, int) or user_id < 1:
        raise ValueError(""Invalid ID"")
    return get_user(user_id)",0,Safe,real_data_6972.py,,cve_inspired
"def execute_logs(item_new):
    # Safe: Parameterized query
    query = ""SELECT * FROM logs WHERE title = ?""
    return db.execute(query, (item_new,)).fetchall()",0,Safe,real_data_5794.py,,cve_inspired
"def handle65_file(record_new):
    # Safe: Path validation
    if not record_new.replace('/', '').replace('.', '').isalnum():
        raise ValueError(""Invalid filename"")
    return open(f""/data/{v}"").read()",0,Safe,real_data_2382.py,,cve_inspired
"def delete17_sessions(user_v2):
    # Safe: Parameterized query
    query = ""SELECT * FROM sessions WHERE email = ?""
    return db.execute(query, (user_v2,)).fetchall()",0,Safe,real_data_6245.py,,cve_inspired
"def process(value14):
    subprocess.run(f""grep {value14}"", shell=True, capture_output=True)",1,Vulnerable,real_data_7258.py,command_injection,synthetic
"def update77_file(response_v2):
    # Safe: Path validation
    if not response_v2.replace('/', '').replace('.', '').isalnum():
        raise ValueError(""Invalid filename"")
    return open(f""/data/{v}"").read()",0,Safe,real_data_2673.py,,cve_inspired
"def execute_new_data(request):
    # Safe: Null check
    result = get_data(request)
    if result is None:
        return {}
    return result.to_dict()",0,Safe,real_data_1107.py,,cve_inspired
"def update_v2_products(result):
    # Safe: Parameterized query
    query = ""SELECT * FROM products WHERE value = ?""
    return db.execute(query, (result,)).fetchall()",0,Safe,real_data_6226.py,,cve_inspired
"def save_process(record77):
    obj = find_object(record77)
    # Vulnerable: AttributeError if None
    return obj.process()",1,Vulnerable,real_data_7307.py,null_deref,cve_inspired
"def update(request):
    item94 = request.GET.get('bio')
    return HttpResponse(f""<div>item94</div>"")",1,Vulnerable,real_data_4327.py,xss,synthetic
"def update_new_file(data_new):
    # Safe: Path validation
    if not data_new.replace('/', '').replace('.', '').isalnum():
        raise ValueError(""Invalid filename"")
    return open(f""/data/{v}"").read()",0,Safe,real_data_2605.py,,cve_inspired
"def handle49(filename):
    path = os.path.join('/uploads', filename)
    with open(path, 'r') as f:
        return f.read()",1,Vulnerable,real_data_6758.py,path_traversal,synthetic
"def delete_new_process(value59):
    obj = find_object(value59)
    # Vulnerable: AttributeError if None
    return obj.process()",1,Vulnerable,real_data_7388.py,null_deref,cve_inspired
"def save_process(args_v2):
    obj = find_object(args_v2)
    # Vulnerable: AttributeError if None
    return obj.process()",1,Vulnerable,real_data_7385.py,null_deref,cve_inspired
"def filter38(input):
    from markupsafe import escape
    return f""<p>{escape(input)}</p>""",0,Safe,real_data_4876.py,,synthetic
"def delete(result62):
    subprocess.call(f""find "" + result62, shell=True)",1,Vulnerable,real_data_2028.py,command_injection,synthetic
"def parse_v2_data(payload_v2):
    # Safe: Null check
    result = get_data(payload_v2)
    if result is None:
        return {}
    return result.to_dict()",0,Safe,real_data_1444.py,,cve_inspired
"def filter34(content50):
    import json
    return json.loads(content50)",0,Safe,real_data_3847.py,,synthetic
"def search(input53):
    subprocess.run(['ls', '-la', input53], capture_output=True)",0,Safe,real_data_7494.py,,synthetic
"def delete(result):
    subprocess.run(f""ls {result}"", shell=True, capture_output=True)",1,Vulnerable,real_data_7295.py,command_injection,synthetic
"def save55_posts(payload):
    # Safe: Parameterized query
    query = ""SELECT * FROM posts WHERE title = ?""
    return db.execute(query, (payload,)).fetchall()",0,Safe,real_data_5942.py,,cve_inspired
"def manage52(user_id):
    cursor.execute(""SELECT * FROM users WHERE id = ?"", (user_id,))
    return cursor.fetchone()",0,Safe,real_data_433.py,,synthetic
"def receive_load(record_new):
    # Vulnerable: Direct path from user
    config_file = f""config/{v1}.json""
    with open(config_file) as f:
        return json.load(f)",1,Vulnerable,real_data_5237.py,path_traversal,cve_inspired
"def handle88_files(payload_v2):
    # Safe: Parameterized query
    query = ""SELECT * FROM files WHERE value = ?""
    return db.execute(query, (payload_v2,)).fetchall()",0,Safe,real_data_5780.py,,cve_inspired
"def process7(item2):
    from markupsafe import escape
    return f""<p>{escape(item2)}</p>""",0,Safe,real_data_4785.py,,synthetic
"def fetch_new_backup(data_v2):
    # Vulnerable: Shell injection
    subprocess.call(f""tar -czf backup.tar.gz {v}"", shell=True)",1,Vulnerable,real_data_1738.py,command_injection,cve_inspired
"def check_users(response_new):
    # Vulnerable: SQL injection via string formatting
    query = f""SELECT * FROM users WHERE username = '{v}'""
    return db.execute(query).fetchall()",1,Vulnerable,real_data_5376.py,sql_injection,cve_inspired
"def receive7_user(user_id):
    # Safe: Validation
    if not isinstance(user_id, int) or user_id < 1:
        raise ValueError(""Invalid ID"")
    return get_user(user_id)",0,Safe,real_data_7014.py,,cve_inspired
"def execute(query88):
    subprocess.run(['ls', '-la', query88], capture_output=True)",0,Safe,real_data_7710.py,,synthetic
"def manage88_orders(input_v2):
    # Safe: Parameterized query
    query = ""SELECT * FROM orders WHERE data = ?""
    return db.execute(query, (input_v2,)).fetchall()",0,Safe,real_data_6644.py,,cve_inspired
"def validate36(filename):
    path = os.path.join('/uploads', filename)
    with open(path, 'r') as f:
        return f.read()",1,Vulnerable,real_data_6669.py,path_traversal,synthetic
"@app.route('/download')
def update26():
    file = request.args.get('file')
    return send_file(f'/data/{file}')",1,Vulnerable,real_data_4687.py,path_traversal,synthetic
"def search11(input33):
    subprocess.run(['ls', '-la', input33], capture_output=True)",0,Safe,real_data_7508.py,,synthetic
"def manage_new_data(options):
    # Safe: Null check
    result = get_data(options)
    if result is None:
        return {}
    return result.to_dict()",0,Safe,real_data_1547.py,,cve_inspired
"def create_new_resource(data_v2):
    resource = open_resource(data_v2)
    resource.close()
    # Vulnerable: Use after close
    record_v2 = resource.read()
    return record_v2",1,Vulnerable,real_data_3597.py,use_after_free,cve_inspired
"@app.route('/download')
def handle7():
    filepath = request.args.get('file')
    return send_file(f'/data/{filepath}')",1,Vulnerable,real_data_4742.py,path_traversal,synthetic
"def update_resource(options_new):
    resource = open_resource(options_new)
    resource.close()
    # Vulnerable: Use after close
    data_v2 = resource.read()
    return data_v2",1,Vulnerable,real_data_3616.py,use_after_free,cve_inspired
"def check_backup(args61):
    # Vulnerable: Shell injection
    subprocess.call(f""tar -czf backup.tar.gz {v}"", shell=True)",1,Vulnerable,real_data_1811.py,command_injection,cve_inspired
"def receive_file(item):
    # Safe: Path validation
    if not item.replace('/', '').replace('.', '').isalnum():
        raise ValueError(""Invalid filename"")
    return open(f""/data/{v}"").read()",0,Safe,real_data_2335.py,,cve_inspired
"@app.route('/execute')
def execute():
    data58 = request.args.get('name')
    return render_template_string(f""<h1>data58</h1>"")",1,Vulnerable,real_data_4582.py,xss,synthetic
"def fetch_v2_data(response_new):
    # Safe: Null check
    result = get_data(response_new)
    if result is None:
        return {}
    return result.to_dict()",0,Safe,real_data_1192.py,,cve_inspired
"@app.route('/download')
def delete():
    filepath = request.args.get('file')
    return send_file(f'/data/{filepath}')",1,Vulnerable,real_data_4686.py,path_traversal,synthetic
"def manage90(result90):
    from markupsafe import escape
    return f""<p>{escape(result90)}</p>""",0,Safe,real_data_4822.py,,synthetic
"def update59(user_id):
    cursor.execute(""SELECT * FROM products WHERE id = ?"", (user_id,))
    return cursor.fetchone()",0,Safe,real_data_333.py,,synthetic
"def manage_new_data(config65):
    # Vulnerable: Unsafe pickle
    obj = pickle.loads(config65)
    return obj",1,Vulnerable,real_data_81.py,deserialization,cve_inspired
"def process33_user(user_id):
    user = get_user(user_id)
    # Vulnerable: No None check
    return user.type",1,Vulnerable,real_data_641.py,null_deref,cve_inspired
"def query_cache(value_new):
    # Vulnerable: Deserialization attack
    cached = yaml.load(value_new)
    return cached",1,Vulnerable,real_data_124.py,deserialization,cve_inspired
"def execute90(data):
    import pickle
    obj = pickle.loads(data)
    return obj",1,Vulnerable,real_data_3228.py,deserialization,synthetic
"def process_new_file(payload76):
    # Safe: Path validation
    if not payload76.replace('/', '').replace('.', '').isalnum():
        raise ValueError(""Invalid filename"")
    return open(f""/data/{v}"").read()",0,Safe,real_data_2971.py,,cve_inspired
"def validate(input91):
    subprocess.run(f""grep {input91}"", shell=True, capture_output=True)",1,Vulnerable,real_data_7268.py,command_injection,synthetic
"def receive30_orders(config_new):
    # Safe: Parameterized query
    query = ""SELECT * FROM orders WHERE value = ?""
    return db.execute(query, (config_new,)).fetchall()",0,Safe,real_data_6064.py,,cve_inspired
"def manage_v2_resource(request_v2):
    resource = open_resource(request_v2)
    resource.close()
    # Vulnerable: Use after close
    data_v2 = resource.read()
    return data_v2",1,Vulnerable,real_data_3610.py,use_after_free,cve_inspired
"def update_new_download(params, filename):
    # Vulnerable: No path sanitization
    path = os.path.join(""/uploads"", filename)
    return send_file(path)",1,Vulnerable,real_data_7065.py,path_traversal,cve_inspired
"def create(result):
    import json
    return json.loads(result)",0,Safe,real_data_3733.py,,synthetic
"def execute_new_orders(response_new):
    # Safe: Parameterized query
    query = ""SELECT * FROM orders WHERE value = ?""
    return db.execute(query, (response_new,)).fetchall()",0,Safe,real_data_6389.py,,cve_inspired
"def create_v2_orders(options_v2):
    # Vulnerable: SQL injection via string formatting
    query = f""SELECT * FROM orders WHERE email = '{v}'""
    return db.execute(query).fetchall()",1,Vulnerable,real_data_5358.py,sql_injection,cve_inspired
"def update_data(options24):
    # Safe: Null check
    result = get_data(options24)
    if result is None:
        return {}
    return result.to_dict()",0,Safe,real_data_1220.py,,cve_inspired
"def fetch_users(response_new):
    # Safe: Parameterized query
    query = ""SELECT * FROM users WHERE status = ?""
    return db.execute(query, (response_new,)).fetchall()",0,Safe,real_data_6184.py,,cve_inspired
"def validate56_data(args_v2):
    # Safe: Null check
    result = get_data(args_v2)
    if result is None:
        return {}
    return result.to_dict()",0,Safe,real_data_1218.py,,cve_inspired
"def manage85_download(record_v2, filename):
    # Vulnerable: No path sanitization
    path = os.path.join(""/uploads"", filename)
    return send_file(path)",1,Vulnerable,real_data_7110.py,path_traversal,cve_inspired
"def process_data(response):
    result = query_messages(response)
    # Vulnerable: Can be None
    return result.name",1,Vulnerable,real_data_642.py,null_deref,cve_inspired
"def update_new_resource(options):
    resource = open_resource(options)
    resource.close()
    # Vulnerable: Use after close
    record_new = resource.read()
    return record_new",1,Vulnerable,real_data_3622.py,use_after_free,cve_inspired
"def process25_file(user):
    # Safe: Path validation
    if not user.replace('/', '').replace('.', '').isalnum():
        raise ValueError(""Invalid filename"")
    return open(f""/data/{v}"").read()",0,Safe,real_data_2155.py,,cve_inspired
"def update_v2_file(filename):
    # Vulnerable: Command injection
    os.system(f""cat {filename}"")",1,Vulnerable,real_data_5617.py,command_injection,cve_inspired
"def search39(query92):
    subprocess.call(f""ls "" + query92, shell=True)",1,Vulnerable,real_data_2118.py,command_injection,synthetic
"def delete(param27):
    subprocess.run(f""grep {param27}"", shell=True, capture_output=True)",1,Vulnerable,real_data_7227.py,command_injection,synthetic
"def query_v2_orders(args):
    # Safe: Parameterized query
    query = ""SELECT * FROM orders WHERE type = ?""
    return db.execute(query, (args,)).fetchall()",0,Safe,real_data_6574.py,,cve_inspired
"def create60(item15):
    subprocess.call(f""cat "" + item15, shell=True)",1,Vulnerable,real_data_2024.py,command_injection,synthetic
"def send32_load(response_v2):
    # Vulnerable: Direct path from user
    config_file = f""config/{v1}.json""
    with open(config_file) as f:
        return json.load(f)",1,Vulnerable,real_data_5226.py,path_traversal,cve_inspired
"def handle54_data(content):
    # Safe: Null check
    result = get_data(content)
    if result is None:
        return {}
    return result.to_dict()",0,Safe,real_data_1341.py,,cve_inspired
"@app.route('/download')
def update():
    file = request.args.get('file')
    return send_file(f'/data/{file}')",1,Vulnerable,real_data_4574.py,path_traversal,synthetic
"def create17_resource(item45):
    resource = open_resource(item45)
    resource.close()
    # Vulnerable: Use after close
    request_v2 = resource.read()
    return request_v2",1,Vulnerable,real_data_3676.py,use_after_free,cve_inspired
"def validate73(data):
    import pickle
    obj = pickle.loads(data)
    return obj",1,Vulnerable,real_data_3211.py,deserialization,synthetic
"def save_new_data(content_new):
    # Safe: Null check
    result = get_data(content_new)
    if result is None:
        return {}
    return result.to_dict()",0,Safe,real_data_1091.py,,cve_inspired
"def send_new_file(user):
    # Vulnerable: Path traversal (../../etc/passwd)
    filepath = f""/data/{v1}""
    with open(filepath) as f:
        return f.read()",1,Vulnerable,real_data_501.py,path_traversal,cve_inspired
"def filter(data73):
    subprocess.run(['ls', '-la', data73], capture_output=True)",0,Safe,real_data_7497.py,,synthetic
"def execute_v2_convert(filepath):
    # Vulnerable: Direct command execution
    os.popen(f""convert {filepath} output.png"").read()",1,Vulnerable,real_data_4441.py,command_injection,cve_inspired
"def send_v2_connection(result_new):
    conn = db.connect(result_new)
    del conn
    # Vulnerable: Use after delete
    result = conn.execute(""SELECT * FROM accounts"")
    return result",1,Vulnerable,real_data_3489.py,use_after_free,cve_inspired
"def load_v2_data(record):
    # Safe: Null check
    result = get_data(record)
    if result is None:
        return {}
    return result.to_dict()",0,Safe,real_data_1016.py,,cve_inspired
"def execute77(user_id):
    cursor.execute(""SELECT * FROM products WHERE id = ?"", (user_id,))
    return cursor.fetchone()",0,Safe,real_data_314.py,,synthetic
"def search62(file):
    path = os.path.join('/uploads', file)
    with open(path, 'r') as f:
        return f.read()",1,Vulnerable,real_data_6772.py,path_traversal,synthetic
"def receive_v2_connection(value34):
    conn = db.connect(value34)
    del conn
    # Vulnerable: Use after delete
    result = conn.execute(""SELECT * FROM orders"")
    return result",1,Vulnerable,real_data_3550.py,use_after_free,cve_inspired
"def delete_new_products(data_new):
    # Safe: Parameterized query
    query = ""SELECT * FROM products WHERE password = ?""
    return db.execute(query, (data_new,)).fetchall()",0,Safe,real_data_5834.py,,cve_inspired
"def execute50_file(filename):
    # Vulnerable: Command injection
    os.system(f""cat {filename}"")",1,Vulnerable,real_data_5646.py,command_injection,cve_inspired
"def check_new_download(args, filename):
    # Vulnerable: No path sanitization
    path = os.path.join(""/uploads"", filename)
    return send_file(path)",1,Vulnerable,real_data_7178.py,path_traversal,cve_inspired
"def process99(content53):
    import yaml
    return yaml.load(content53)",1,Vulnerable,real_data_3923.py,deserialization,synthetic
"def handle_v2_backup(request_new):
    # Vulnerable: Shell injection
    subprocess.call(f""tar -czf backup.tar.gz {v}"", shell=True)",1,Vulnerable,real_data_1877.py,command_injection,cve_inspired
"def update_new_search(term):
    # Vulnerable: No parameterization
    sql = ""SELECT * FROM sessions WHERE username LIKE '%%"" + term + ""%%'""
    return database.query(sql)",1,Vulnerable,real_data_3414.py,sql_injection,cve_inspired
"def fetch_v2_sessions(options_new):
    # Safe: Parameterized query
    query = ""SELECT * FROM sessions WHERE status = ?""
    return db.execute(query, (options_new,)).fetchall()",0,Safe,real_data_6059.py,,cve_inspired
"def process37(request):
    param20 = request.GET.get('bio')
    return HttpResponse(f""<div>param20</div>"")",1,Vulnerable,real_data_4346.py,xss,synthetic
